Time,P_grid,P_charge,P_discharge,Battery_SoC,Cost
0,1247.55431536335,0.0,450.0,450.0,124.75543153633501
1,1606.23629480089,0.0,219.230769230769,219.230769230769,160.623629480089
2,1252.03735038762,0.0,106.804733727811,106.804733727811,125.20373503876202
3,797.392275100465,0.0,52.0330754058565,52.0330754058565,79.7392275100465
4,1276.35747044884,0.0,25.3494469925968,25.3494469925968,127.63574704488401
5,1626.30065544786,0.0,12.3497305861369,12.3497305861369,162.63006554478602
6,843.625936549012,0.0,6.01653541375899,6.01653541375899,84.3625936549012
7,1517.87451013181,0.0,2.93113263747233,2.93113263747233,151.787451013181
8,1447.6692627713,0.0,1.42798769517883,1.42798769517883,144.76692627713
9,1648.41095719255,0.0,0.695686313035839,0.695686313035839,164.841095719255
10,1966.84001163574,0.0,0.338924101222588,0.338924101222588,196.684001163574
11,2119.85857203592,0.0,0.165116869826389,0.165116869826389,211.98585720359202
12,1596.03242712812,0.0,0.0804415519667025,0.0804415519667025,159.603242712812
13,1465.31587547277,0.0,0.0391894740350602,0.0391894740350602,146.53158754727698
14,2261.92158217696,0.0,0.0190923078632345,0.0190923078632345,226.192158217696
15,840.906418043305,0.0,0.00930138075388345,0.00930138075388345,84.09064180433052
16,1612.94347749374,0.0,0.00453144190573809,0.00453144190573809,161.294347749374
17,1766.58002115064,0.0,0.00220762554382112,0.00220762554382112,176.65800211506402
18,833.657049316304,0.0,0.00107550988032311,0.00107550988032311,83.3657049316304
19,1550.74278491563,0.0,0.000523966351952285,0.000523966351952285,155.074278491563
20,2154.97843635566,0.0,0.000255265658643421,0.000255265658643421,215.49784363556603
21,1023.16916846393,0.0,0.000124360192672436,0.000124360192672436,102.316916846393
22,1284.85737479214,0.0,6.05857348916995e-05,6.05857348916995e-05,128.485737479214
23,1952.22868665028,0.0,2.95161272549305e-05,2.95161272549305e-05,195.22286866502802
24,920.505740226452,0.0,1.43796517395815e-05,1.43796517395815e-05,92.05057402264521
25,1330.39571231254,0.0,7.00547136030896e-06,7.00547136030896e-06,133.039571231254
26,1995.14313242642,0.0,3.4129219447659e-06,3.4129219447659e-06,199.514313242642
27,879.207098685241,0.0,1.66270556283467e-06,1.66270556283467e-06,87.92070986852411
