Time,P_grid,P_charge,P_discharge,Battery_SoC,Cost
0,442.200944490611,0.0,450.0,450.0,44.2200944490611
1,586.122601641971,0.0,219.230769230769,219.230769230769,58.612260164197096
2,769.027904803179,0.0,106.804733727811,106.804733727811,76.9027904803179
3,897.601350094809,0.0,52.0330754058565,52.0330754058565,89.7601350094809
4,498.782784980276,0.0,25.3494469925968,25.3494469925968,49.878278498027605
5,822.360121556417,0.0,12.3497305861369,12.3497305861369,82.2360121556417
6,424.819589464573,0.0,6.01653541375899,6.01653541375899,42.481958946457304
7,415.658092990518,0.0,2.93113263747233,2.93113263747233,41.56580929905181
8,602.600212538508,0.0,1.42798769517883,1.42798769517883,60.2600212538508
9,696.983030894716,0.0,0.695686313035839,0.695686313035839,69.6983030894716
10,832.20041294905,0.0,0.338924101222588,0.338924101222588,83.220041294905
11,805.945932113895,0.0,0.165116869826389,0.165116869826389,80.59459321138951
12,416.285975086976,0.0,0.0804415519667025,0.0804415519667025,41.6285975086976
13,433.236865849794,0.0,0.0391894740350602,0.0391894740350602,43.323686584979406
14,726.657834823645,0.0,0.0190923078632345,0.0190923078632345,72.6657834823645
15,794.119414257023,0.0,0.00930138075388345,0.00930138075388345,79.41194142570231
16,561.252604109764,0.0,0.00453144190573809,0.00453144190573809,56.1252604109764
17,887.837907289261,0.0,0.00220762554382112,0.00220762554382112,88.7837907289261
18,849.266872053506,0.0,0.00107550988032311,0.00107550988032311,84.9266872053506
19,799.838171975849,0.0,0.000523966351952285,0.000523966351952285,79.98381719758491
20,937.547804469616,0.0,0.000255265658643421,0.000255265658643421,93.7547804469616
21,1029.63075164149,0.0,0.000124360192672436,0.000124360192672436,102.963075164149
22,1241.6082433045,0.0,6.05857348916995e-05,6.05857348916995e-05,124.16082433045001
23,878.415355499378,0.0,2.95161272549305e-05,2.95161272549305e-05,87.84153554993782
24,786.268142537934,0.0,1.43796517395815e-05,1.43796517395815e-05,78.6268142537934
25,809.844704757028,0.0,7.00547136030896e-06,7.00547136030896e-06,80.9844704757028
26,951.326511903633,0.0,3.4129219447659e-06,3.4129219447659e-06,95.1326511903633
27,514.028547967548,0.0,1.66270556283467e-06,1.66270556283467e-06,51.4028547967548
28,1071.15377892196,0.0,8.10036043432276e-07,8.10036043432276e-07,107.11537789219602
29,1190.78689435819,0.0,3.94632944236237e-07,3.94632944236237e-07,119.078689435819
30,479.147705558909,0.0,1.92257075397141e-07,1.92257075397141e-07,47.914770555890904
31,361.768013579229,0.0,9.36637033986072e-08,9.36637033986072e-08,36.1768013579229
32,739.419435394723,0.0,4.56310349890651e-08,4.56310349890651e-08,73.9419435394723
33,873.52857345194,0.0,4.33494832396118e-08,0.0,87.35285734519401
34,889.810365864038,0.0,0.0,0.0,88.9810365864038
35,876.771862912144,0.0,0.0,0.0,87.67718629121441
36,417.618787717343,0.0,0.0,0.0,41.7618787717343
37,416.039337108841,0.0,0.0,0.0,41.6039337108841
38,594.898093699501,0.0,0.0,0.0,59.48980936995011
39,955.845215182483,0.0,0.0,0.0,95.58452151824831
40,984.749147821669,0.0,0.0,0.0,98.4749147821669
41,1170.22954379965,0.0,0.0,0.0,117.022954379965
42,528.012518781497,0.0,0.0,0.0,52.8012518781497
43,495.15677404263,0.0,0.0,0.0,49.515677404263
44,728.040060720831,0.0,0.0,0.0,72.8040060720831
45,556.817374657043,0.0,0.0,0.0,55.68173746570431
46,977.776631874301,0.0,0.0,0.0,97.77766318743011
47,974.452084292108,0.0,0.0,0.0,97.44520842921081
48,327.59426245733,0.0,0.0,0.0,32.759426245733
49,592.911492148773,0.0,0.0,0.0,59.29114921487731
50,804.847553737472,0.0,0.0,0.0,80.4847553737472
51,525.548165580544,0.0,0.0,0.0,52.554816558054405
52,875.137522115954,0.0,0.0,0.0,87.5137522115954
53,1120.00561372339,0.0,0.0,0.0,112.000561372339
