Time,P_grid,P_charge,P_discharge,Battery_SoC,Cost
0,441.613953896529,0.0,1250.0,1250.0,44.1613953896529
1,468.10922239397,1570.63803313931,1335.89785892729,1335.89785892729,46.810922239397
2,653.586133403636,214.572341009558,750.130514739515,750.130514739515,65.3586133403636
3,431.698525514416,32.6281596081913,380.549181050735,380.549181050735,43.16985255144161
4,388.226978174339,1561.81999172795,908.238084375731,908.238084375731,38.822697817433905
5,1085.68858678153,235.218090278879,551.338721350581,551.338721350581,108.56885867815299
6,582.659207519444,33.3876081507958,284.053385455972,284.053385455972,58.2659207519444
7,635.49894180181,1562.87478137046,861.715490446161,861.715490446161,63.549894180181006
8,933.783564248432,230.633271299452,526.551919626466,526.551919626466,93.3783564248432
9,1420.51426323886,33.7954601458981,272.166526372726,272.166526372726,142.051426323886
10,1088.33142015082,1536.47691258401,843.706981364695,843.706981364695,108.83314201508199
11,1591.75539953989,243.825173761729,523.884026469959,523.884026469959,159.17553995398902
12,1361.73629575629,17.5516996513029,263.348837990647,263.348837990647,136.173629575629
13,773.598582081527,1156.40104473428,663.504276391693,663.504276391693,77.3598582081527
14,1839.91876734076,228.776841528641,429.128288231644,429.128288231644,183.99187673407602
15,626.160904512973,27.5792331860617,221.826734241273,221.826734241273,62.61609045129731
16,1254.99195360794,494.7244700592,337.038067568019,337.038067568019,125.49919536079402
17,1567.44687963371,105.028920669816,212.807571843142,212.807571843142,156.744687963371
18,702.756193315142,14.8795658902872,110.562052034343,110.562052034343,70.2756193315142
19,1143.22963155471,792.948661650448,420.856470037003,420.856470037003,114.32296315547102
20,1861.85038329903,183.927185929278,290.157913762218,290.157913762218,186.18503832990302
21,885.624124245949,22.4459235925315,151.747417495573,151.747417495573,88.56241242459491
22,1069.07786707444,267.84624988707,197.89296776609,197.89296776609,106.90778670744402
23,1839.12381008647,29.4075352330724,110.019805090068,110.019805090068,183.912381008647
24,916.278684318632,19.281554665013,62.5232912414047,62.5232912414047,91.6278684318632
25,776.275370897,1070.13331583917,525.739714986763,525.739714986763,77.62753708970001
26,1622.04152081553,190.973180741219,344.515910182756,344.515910182756,162.20415208155302
27,747.105866945064,41.6993505337445,187.14039924632,187.14039924632,74.7105866945064
28,758.99818367041,1611.71857374945,837.107380560451,837.107380560451,75.899818367041
