Time,P_charge,P_discharge,Battery_SoC,P_grid,P_waste,Cost_grid,Cost_waste
0,27.222260677791343,171.0967199059537,1104.7644277379482,1529.0720699858734,5.546537549400721,152.90720699858736,1.1093075098801444
1,1030.4106855984962,162.5753674704331,1921.0792115860866,1649.560482224353,540.2273475408097,164.95604822243533,108.04546950816194
2,133.00386243161364,994.4348837623925,1052.997997133727,459.00350856887906,81.56847857794398,45.90035085688791,16.313695715588796
3,2.3197638389506796,598.2542537031795,456.9475190775506,243.9061655471305,30.308395769240562,24.390616554713052,6.061679153848113
4,697.6114744685443,1675.5507993001095,0.0,0.0,864.2085172594096,0.0,172.84170345188193
5,112.35571735375231,1398.0995017372622,0.0,308.8327814817126,122.86237292512635,30.883278148171257,24.572474585025272
6,17.04586019274376,492.0366949656591,0.0,399.27773275803986,16.34174795805194,39.927773275803986,3.268349591610388
7,672.9451599295783,1971.9982925145778,0.0,0.0,889.9296214408823,0.0,177.98592428817648
8,89.9126212917506,523.1706789739092,0.0,963.3233388496847,140.72065000770118,96.33233388496848,28.144130001540237
9,33.48866902537993,28.781487749906773,3.0327478242041543,1665.3383762491744,0.30679112051814883,166.53383762491745,0.06135822410362977
10,551.2245066986483,1843.31826166901,0.0,180.88605292995453,985.2524058853575,18.088605292995453,197.0504811770715
11,168.3275969472321,374.025501926989,0.0,1760.315199179207,75.49757681449702,176.03151991792072,15.099515362899405
12,11.693494375553163,1508.7210458128036,0.0,191.8001402247703,5.858205275749713,19.18001402247703,1.1716410551499425
13,886.6905778797199,396.1855079084045,446.1705410773294,1060.7266259602357,269.71046685455815,106.07266259602358,53.942093370911635
14,58.60342252466496,1404.2920382265797,0.0,934.9696192571521,170.17341900397597,93.49696192571521,34.03468380079519
15,8.606107043767995,1709.0480207544051,0.0,0.0,18.973126142293662,0.0,3.7946252284587327
16,33.68341895460932,922.8793873040975,0.0,715.2946032370622,461.04105110459034,71.52946032370623,92.20821022091808
17,19.736330805741964,766.9417632985053,0.0,1051.6597763432683,85.29258986407362,105.16597763432684,17.058517972814723
18,0.7135235366309489,1778.0076275600898,0.0,0.0,14.166042353656266,0.0,2.8332084707312535
19,201.78033647860138,1823.3008488939631,0.0,0.0,591.1683251718463,0.0,118.23366503436927
20,126.47016380386364,118.47505865283347,1.6715969608369932,2039.4569913410608,57.457022125414426,203.9456991341061,11.491404425082886
21,20.21792598278607,180.38083482302227,0.0,866.009748659651,2.2279976097454863,86.6009748659651,0.4455995219490973
22,17.859984216368247,701.2424530131814,0.0,600.7905044780107,249.98626567070167,60.07905044780107,49.99725313414034
23,4.758230685017146,316.26492533189264,0.0,1648.6919361112373,24.64930454805522,164.86919361112373,4.929860909611044
24,16.56156488156968,464.23271226949805,0.0,537.7808989040138,2.7199897834433386,53.77808989040139,0.5439979566886678
25,443.4873426470287,150.34391730036805,270.9690582143092,1159.1883644484137,626.6459731921434,115.91883644484138,125.32919463842869
26,22.780788104510933,1127.7349468919667,0.0,895.2092314509218,168.1923926367084,89.52092314509218,33.63847852734168
27,1.83716011464211,64.22816053612769,0.0,873.2295136820624,39.862190419102305,87.32295136820625,7.972438083820461
28,600.5036113673864,1114.9643811701503,0.0,536.8894021192182,1011.2149623820601,53.68894021192182,202.24299247641204
29,51.46351970533739,1075.145887305205,0.0,678.5727716204003,201.2922063629441,67.85727716204003,40.258441272588826
30,31.59463583048423,610.0058740744923,0.0,491.7369964698013,9.106180508354328,49.17369964698013,1.8212361016708656
31,1131.0953230929729,974.0984747350112,100.44208220331302,246.91735354822742,519.9176808053041,24.691735354822743,103.98353616106084
32,83.76472385927548,1411.6137443030307,0.0,967.3870367443919,176.332338120849,96.7387036744392,35.2664676241698
33,24.394204206182152,86.20731740509154,0.0,875.1121423935857,21.664943516587805,87.51121423935858,4.332988703317561
34,1504.2568785250398,346.1982110654666,1082.845823533321,979.084944955245,164.27969730074028,97.90849449552451,32.85593946014806
35,110.46581719058548,1599.3127992036368,0.0,99.16779407569265,146.81847240952254,9.916779407569265,29.36369448190451
36,37.27514712702601,959.7690117212511,0.0,234.92492684706417,8.024552053139509,23.49249268470642,1.6049104106279017
37,197.7406541557466,1671.947594015848,0.0,287.0323462572269,1420.6582539962396,28.70323462572269,284.13165079924795
38,22.269065966081882,2042.965659559872,0.0,713.4420749542505,239.86725598955462,71.34420749542505,47.973451197910926
39,16.11846516881379,85.95129899164749,0.0,1227.2264158324072,31.83930391046731,122.72264158324072,6.367860782093462
40,1484.5171739521754,513.031621654831,897.2596935997356,1083.07961103598,78.16071335168363,108.307961103598,15.632142670336727
41,126.32436044237926,713.350601625746,303.9172343942498,1497.0488563314136,143.65959645350313,149.70488563314137,28.731919290700628
42,28.464036743212283,268.4883636472829,62.46970565301859,644.8293890126199,5.289231816985549,64.48293890126199,1.0578463633971098
43,527.0980457738424,877.8792658962225,0.0,1350.0443381525288,522.403584657909,135.0044338152529,104.48071693158181
44,225.55500696468408,2402.079061223399,0.0,35.640353217782376,23.783200661877316,3.564035321778238,4.7566401323754635
45,12.699664307661985,1404.4609036169336,0.0,0.0,44.27304024957194,0.0,8.854608049914388
46,941.4232655401663,828.4126876056924,65.93941465746548,896.3232205411887,564.1272147255579,89.63232205411887,112.82544294511159
47,201.16609368554555,751.3557992091071,0.0,1137.5184504557028,76.97490311238471,113.75184504557029,15.394980622476943
48,22.405242668976467,227.75946756718872,0.0,686.4147083838427,28.54812899502218,68.64147083838428,5.709625799004436
49,51.869625814367055,374.3802410775785,0.0,1662.7462811394507,1402.8118659587587,166.27462811394508,280.56237319175176
