Time,P_load,P_production,P_charge,P_discharge,P_grid,P_waste,Battery_SoC,Total_Supply,Cost
0,1691.6139538965294,32.768798227192065,16.769008912117556,1140.4687352708713,591.3996464770844,15.999789315074509,65.43715291822605,1691.6139538965294,59.13996464770844
1,1804.0070813212646,1570.638033139306,1183.5531716932217,65.43715291822605,558.2886143557282,387.08486144608423,1120.9314524286538,1804.0070813212646,55.828861435572826
2,1403.7166481431518,214.57234100955762,52.25129444844705,666.6879996233971,718.1117540524775,162.32104656111056,468.79334044583925,1403.7166481431518,71.81117540524775
3,812.247706565151,32.62815960819124,11.825986360085752,468.79334044583925,355.068046781518,20.80217324810549,0.0,812.247706565151,35.5068046781518
4,1296.4650625500701,1561.819991727954,1010.5013489423027,0.0,285.96371360776743,551.3186427856513,959.9762814951875,1296.4650625500701,28.596371360776743
5,1637.0273081321116,235.21809027887866,83.50727642415481,857.8459953283401,738.5663361460337,151.71081385472385,136.3124095419871,1637.0273081321116,73.85663361460337
6,866.712592975416,33.3876081507957,25.311927738569086,136.3124095419871,711.9038761719592,8.075680412226614,16.871994007325497,866.712592975416,71.19038761719592
7,1497.2144322479717,1562.8747813704606,1480.7781607347397,16.871994007325497,0.4078772062728149,82.09662063572091,1405.8512530134064,1497.2144322479717,0.04078772062728149
8,1460.3354838748983,230.6332712994518,49.58883213156924,1039.8038707818478,422.93297450057366,181.04443916788256,358.4302532417155,1460.3354838748983,42.293297450057366
9,1692.6807896115859,33.795460145898076,17.62664172098959,358.4302532417155,1334.5454073109665,16.168818424908487,0.0,1692.6807896115859,133.45454073109667
10,1932.0384015155141,1536.4769125840057,1536.4769125840057,0.0,395.5614889315084,0.0,1459.6530669548054,1932.0384015155141,39.55614889315084
11,2115.6394260098464,243.82517376172913,209.77086417879,529.8502368193326,1402.5108368526903,34.05430958293914,1101.1982965358845,2115.6394260098464,140.25108368526904
12,1625.0851337469337,17.551699651302876,10.527656234561416,1101.1982965358845,568.4190958032821,7.02404341674146,0.0,1625.0851337469337,56.841909580328206
13,1437.1028584732198,1156.401044734278,894.8887755229521,0.0,542.2140829502678,261.51226921132593,850.1443367468045,1437.1028584732198,54.22140829502678
14,2269.0470555724028,228.77684152864092,133.0220183225679,850.1443367468045,1328.3879173403707,95.75482320607301,81.6264786302919,2269.0470555724028,132.83879173403707
15,847.9876387542463,27.579233186061657,15.147819391222415,68.72937459772558,767.5469134951845,12.431413794839242,23.670196949084158,847.9876387542463,76.75469134951845
16,1592.0300211759547,494.7244700591997,199.08108619889762,23.670196949084158,1370.4622478754272,295.64338386030204,187.88123204952726,1592.0300211759547,137.04622478754274
17,1780.2544514768483,105.02892066981559,86.00788368115008,187.88123204952726,1515.7593973486473,19.021036988665514,71.81900359974901,1780.2544514768483,151.57593973486473
18,813.3182453494848,14.879565890287214,3.589048161114087,71.81900359974901,741.5011437686092,11.290517729173127,0.0,813.3182453494848,74.15011437686091
19,1564.0861015917083,792.9486616504477,132.97452715321964,0.0,1431.1115744384886,659.9741344972281,126.32580079555865,1564.0861015917083,143.11115744384887
20,2152.0082970612525,183.92718592927807,133.78695900373026,126.32580079555865,1898.2118273017416,50.14022692554781,120.44888469588275,2152.0082970612525,189.82118273017417
21,1037.3715417415222,22.445923592531557,5.296287849250796,120.44888469588275,917.6488134311827,17.14963574328076,0.0,1037.3715417415222,91.76488134311828
22,1266.970834840533,267.8462498870699,126.33254412377667,0.0,1140.6382907167563,141.51370576329325,120.01591691758783,1266.970834840533,114.06382907167563
23,1949.1436151765354,29.407535233072366,29.407535233072366,120.01591691758783,1805.7209588717546,0.0,21.620531265229914,1949.1436151765354,180.57209588717546
24,978.801975560037,19.28155466501302,7.132811733672557,21.620531265229914,951.1296591243961,12.148742931340461,5.638248448818931,978.801975560037,95.11296591243962
25,1302.0150858837633,1070.1333158391722,216.0232853535932,5.638248448818931,1080.635464503792,854.1100304855789,204.92537116755463,1302.0150858837633,108.0635464503792
26,1966.55743099829,190.97318074121932,67.65536538611957,204.92537116755463,1704.2229630029938,123.31781535509975,53.487051265889676,1966.5574309982903,170.4222963002994
27,934.2462661913837,41.699350533744415,18.229168734047143,53.487051265889676,865.2043987547414,23.470181799697272,14.502602335982175,934.2462661913837,86.52043987547415
28,1596.1055642308609,1611.7185737494465,1581.6078208631322,14.502602335982175,0.7202711485456348,30.11075288631423,1501.764134960187,1596.1055642308609,0.07202711485456348
29,1699.961364560345,252.7557260682815,21.93323465405062,1269.0388133224865,472.44125724993205,230.82249141423088,186.77037806839144,1699.961364560345,47.24412572499321
30,1071.242576840569,40.70081633883856,21.042005370445974,186.77037806839144,872.7687123051512,19.658810968392583,10.159885203587294,1071.242576840569,87.27687123051513
31,1172.310904546488,1651.013003898277,852.8945703203576,0.0,319.4163342261304,798.1184335779194,820.4097270079269,1172.310904546488,31.94163342261304
32,2308.420093832271,260.09706198012447,136.00851071383636,820.4097270079269,1393.0223424609042,124.0885512662881,86.02862586193783,2308.420093832271,139.30223424609042
33,957.0090939284227,46.05914772276996,17.09731527825599,86.02862586193783,858.1845840813257,28.961832444513966,11.714627100556982,957.0090939284227,85.81845840813259
34,1307.9732454674381,1668.5365758257801,1021.6861995865511,11.714627100556982,275.1581501353578,646.850376239229,969.9853302861416,1307.9732454674381,27.515815013535782
35,1618.5149533191475,257.284289600108,165.35976477903196,969.9853302861416,531.6691247682811,91.92452482107606,106.03991705133615,1618.5149533191475,53.16691247682812
