Time,P_load,P_production,P_charge,P_discharge,P_grid,Battery_SoC,Total_Supply,Cost
0,1691.6139538965294,32.768798227192065,29.747363964011488,1250.0,504.11395389652944,0.0,1691.6139538965294,50.411395389652945
1,1804.0070813212646,1570.638033139306,1570.638033139306,0.0,1804.0070813212646,1492.1061314823405,1804.0070813212646,180.40070813212648
2,1403.7166481431518,214.57234100955762,65.6810843897897,1492.1061314823405,0.0,0.0,1417.5008249082234,0.0
3,812.247706565151,32.62815960819124,0.0,0.0,812.247706565151,0.0,812.247706565151,81.2247706565151
4,1296.4650625500701,1561.819991727954,1476.7951550207122,0.0,1296.4650625500701,1402.9553972696765,1296.4650625500701,129.646506255007
5,1637.0273081321116,235.21809027887866,230.16012711811874,1402.9553972696765,304.21968072591903,144.81236301117724,1637.0273081321116,30.421968072591905
6,866.712592975416,33.3876081507957,26.483117502009065,144.81236301117724,729.1408481147976,17.53725831053086,866.7125929754159,72.91408481147975
7,1497.2144322479717,1562.8747813704606,865.8689928996508,17.53725831053086,1480.5540368529673,821.6525296593771,1497.2144322479717,148.05540368529674
8,1460.3354838748983,230.6332712994518,230.51122653265628,619.2441439271648,872.0535471440917,388.8022538894377,1460.3354838748983,87.20535471440917
9,1692.6807896115859,33.795460145898076,1.6497747038988626,388.8022538894377,1323.3186484166201,0.0,1692.6807896115859,132.33186484166202
10,1932.0384015155141,1536.4769125840057,1493.389248850527,0.0,1932.0384015155141,1418.7197864080008,1932.0384015155141,193.20384015155142
11,2115.6394260098464,243.82517376172913,93.79185369937025,654.8810513585807,1493.5024272191947,818.4735723081071,2115.6394260098464,149.35024272191947
12,1625.0851337469337,17.551699651302876,13.639219581078143,818.4735723081071,847.535240054232,0.0,1625.0851337469337,84.7535240054232
13,1437.1028584732198,1156.401044734278,1156.401044734278,0.0,1437.1028584732198,1098.580992497564,1437.1028584732198,143.71028584732198
14,2269.0470555724028,228.77684152864092,214.2727302516529,1098.580992497564,1225.395112699717,145.73904150235626,2269.0470555724028,122.5395112699717
15,847.9876387542463,27.579233186061657,15.712439864261238,145.73904150235626,709.5355493270079,7.256342002503089,847.9876387542463,70.95355493270078
16,1592.0300211759547,494.7244700591997,91.22345883682296,7.256342002503089,1585.1364962735768,86.28037315800796,1592.0300211759547,158.5136496273577
17,1780.2544514768483,105.02892066981559,44.04219630513174,86.28037315800796,1698.2880969767407,37.29901421840104,1780.2544514768483,169.82880969767407
18,813.3182453494848,14.879565890287214,3.571804615008219,37.29901421840104,777.8841818420037,1.4301083727630157,813.3182453494848,77.78841818420038
19,1564.0861015917083,792.9486616504477,648.8642613825391,1.4301083727630157,1562.7274986375835,616.3457794516878,1564.0861015917083,156.27274986375835
20,2152.0082970612525,183.92718592927807,35.19012826246372,616.3457794516878,1566.4798065821492,0.9913702992516846,2152.0082970612525,156.64798065821492
21,1037.3715417415222,22.445923592531557,15.886295283241159,0.9913702992516846,1036.429739957233,15.03980313490796,1037.3715417415222,103.64297399572331
22,1266.970834840533,267.8462498870699,14.464915318425058,15.03980313490796,1252.6830218623704,12.950100966456016,1266.970834840533,125.26830218623705
23,1949.1436151765354,29.407535233072366,24.989254988497333,12.950100966456016,1936.8410192584022,23.058207977680038,1949.1436151765354,193.68410192584022
24,978.801975560037,19.28155466501302,1.377297538407965,23.058207977680038,956.8966779812409,0.09484276792545998,978.801975560037,95.6896677981241
25,1302.0150858837633,1070.1333158391722,421.9440073219501,0.09484276792545998,1301.9249852542341,400.8418152312249,1302.0150858837633,130.19249852542342
26,1966.55743099829,190.97318074121932,189.75348646464,400.8418152312249,1585.7577065286264,159.16887449765932,1966.55743099829,158.57577065286264
27,934.2462661913837,41.699350533744415,23.37684820677235,159.16887449765932,783.0358354186073,13.830696612346372,934.2462661913837,78.30358354186075
28,1596.1055642308609,1611.7185737494465,783.6442690225986,13.830696612346372,1582.966402449132,743.7341241708187,1596.1055642308609,158.2966402449132
29,1699.961364560345,252.7557260682815,164.31516359733598,212.50832561454328,1498.0784552265288,676.1405552571897,1699.961364560345,149.80784552265288
30,1071.242576840569,40.70081633883856,2.29861825509601,676.1405552571897,428.9090493462388,0.0,1071.242576840569,42.89090493462388
31,1172.310904546488,1651.013003898277,1651.013003898277,0.0,1172.310904546488,1568.462353703363,1172.310904546488,117.23109045464881
32,2308.420093832271,260.09706198012447,259.77738668711737,1568.462353703363,818.3808578140763,164.23786715784763,2308.420093832271,81.83808578140764
33,957.0090939284227,46.05914772276996,46.04998100594088,164.23786715784763,800.9831201284674,35.10338368417814,957.0090939284225,80.09831201284675
34,1307.9732454674381,1668.5365758257801,1668.5365758257801,35.10338368417814,1274.6250309674688,1583.2622005247974,1307.9732454674381,127.46250309674689
35,1618.5149533191475,257.284289600108,241.1420793754041,1449.1395958057258,241.83233730370807,286.93707508329885,1618.5149533191475,24.18323373037081
36,1146.7054879822526,45.29969918016552,3.7664542161044494,286.93707508329885,874.1152666531187,0.0,1146.7054879822526,87.41152666531188
37,1875.3825605722823,1618.3989081519862,1618.3989081519862,0.0,1875.3825605722823,1537.4789627443868,1875.3825605722823,187.53825605722824
38,2654.259451536129,262.1363219556365,119.41164831383549,308.70525218390713,2360.989461961417,1325.9671316068388,2654.259451536129,236.0989461961417
39,1308.8801498744722,47.9577690792811,0.6580864613320135,1110.924223385734,253.50213765802505,157.19839439170005,1308.8801498744722,25.350213765802508
40,1570.4596516080694,1562.677887303859,1438.0454240914505,157.19839439170005,1421.1211769359543,1357.8695531820517,1570.4596516080694,142.11211769359542
