Time,P_grid,P_charge,P_discharge,Battery_SoC,Cost
0,192.73766002180443,0.0,306.8112333418918,193.1887666581082,19.273766002180444
1,2412.002292922591,0.0,193.1887666581082,0.0,241.2002292922591
2,0.0,0.0,0.0,0.0,0.0
3,1582.595928832482,0.0,0.0,0.0,158.25959288324822
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,295.259209637408,0.0,0.0,0.0,29.525920963740802
7,450.4180603640876,0.0,0.0,0.0,45.04180603640876
8,202.89449373321386,0.0,0.0,0.0,20.28944937332139
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,2317.2694501070855,0.0,0.0,0.0,231.72694501070856
12,2375.54227461912,0.0,0.0,0.0,237.55422746191198
13,0.0,0.0,0.0,0.0,0.0
14,1323.2915216344745,0.0,0.0,0.0,132.32915216344745
15,6.688538623446159e-07,0.0,0.0,0.0,6.68853862344616e-08
16,0.0,0.0,0.0,0.0,0.0
17,2005.4657240547642,0.0,0.0,0.0,200.54657240547644
18,391.95449166181015,0.0,0.0,0.0,39.19544916618102
19,1690.1912577046558,0.0,0.0,0.0,169.0191257704656
20,712.557930377719,0.0,0.0,0.0,71.25579303777191
21,0.0,0.0,0.0,0.0,0.0
22,2040.8722264021555,0.0,0.0,0.0,204.08722264021557
23,1239.5034553050164,0.0,0.0,0.0,123.95034553050164
24,261.9569585578739,0.0,0.0,0.0,26.195695855787392
25,356.69231911824807,0.0,0.0,0.0,35.66923191182481
26,1204.5484671282795,0.0,0.0,0.0,120.45484671282796
27,317.26448812448547,0.0,0.0,0.0,31.72644881244855
28,2397.028021314138,0.0,0.0,0.0,239.70280213141382
29,950.878555187771,0.0,0.0,0.0,95.0878555187771
30,1116.5757447288404,0.0,0.0,0.0,111.65757447288405
31,0.0,0.0,0.0,0.0,0.0
32,287.8347849747853,0.0,0.0,0.0,28.78347849747853
33,0.0,0.0,0.0,0.0,0.0
34,469.98624121458977,0.0,0.0,0.0,46.99862412145898
35,0.0,0.0,0.0,0.0,0.0
36,2412.002292922591,0.0,0.0,0.0,241.2002292922591
37,305.9292958302232,0.0,0.0,0.0,30.592929583022325
38,557.8788204418204,0.0,0.0,0.0,55.78788204418204
39,130.01531396278648,0.0,0.0,0.0,13.001531396278649
40,1563.5363804403005,0.0,0.0,0.0,156.35363804403005
41,10.410208548611603,0.0,0.0,0.0,1.0410208548611604
42,0.0,0.0,0.0,0.0,0.0
43,478.3184583646448,0.0,0.0,0.0,47.83184583646448
44,409.12760646609615,0.0,0.0,0.0,40.91276064660962
45,1471.135874192716,0.0,0.0,0.0,147.11358741927162
46,1363.321588167507,0.0,0.0,0.0,136.3321588167507
47,72.1733057825814,0.0,0.0,0.0,7.21733057825814
48,42.23461876951046,0.0,0.0,0.0,4.223461876951046
49,2412.0021132190195,0.0,0.0,0.0,241.20021132190197
50,1079.0520946916008,0.0,0.0,0.0,107.90520946916008
51,0.0,0.0,0.0,0.0,0.0
52,131.78634829686416,0.0,0.0,0.0,13.178634829686416
53,0.9092540478731709,0.0,0.0,0.0,0.09092540478731709
54,78.8381703247182,0.0,0.0,0.0,7.883817032471821
55,0.0,0.0,0.0,0.0,0.0
56,0.0,152.24688684223858,0.0,139.26152464030173,0.0
57,117.33599376773384,74.5390932499519,57.85810489647152,151.95916768516093,11.733599376773384
58,934.6437806280449,18.430229357045828,151.95916768516093,17.120022193805674,93.46437806280449
59,1144.4682892843305,0.0,17.120022193805674,0.0,114.44682892843305
60,1521.202806560541,0.0,0.0,0.0,152.1202806560541
61,972.2930554249506,0.0,0.0,0.0,97.22930554249507
62,1506.0691199175437,321.762572034891,0.0,297.36536827665253,150.60691199175437
63,343.7676526695641,215.2296813368191,175.4239620028248,315.91552668882275,34.37676526695641
64,0.0,0.07805176923150162,177.4940622885564,138.49559248565518,0.0
65,26.747038682740826,0.0,138.49559248565518,0.0,2.674703868274083
66,0.0,0.0,0.0,0.0,0.0
67,2412.002292922591,0.0,0.0,0.0,241.2002292922591
68,142.10225090731024,223.23828486266098,0.0,209.29057252107694,14.210225090731024
69,0.0,617.6908431193692,85.43114168582952,665.4233785834454,0.0
70,390.1648858470092,25.956771498386377,102.63546308514113,586.8170432871059,39.01648858470092
71,109.62369352965845,0.0,283.5032909197271,303.3137523673788,10.962369352965846
72,1534.2065049199214,0.0,247.27505046829668,56.038701899082156,153.42065049199215
73,0.0,0.0,11.697312042711484,44.34138985637067,0.0
74,49.15602337242507,155.4208034817043,31.312200603240605,157.65310139511422,4.9156023372425075
75,1.6132509269166566,281.11815904272055,67.49451023455833,349.07476733487624,0.16132509269166567
76,713.567343357552,18.91544475652947,307.0860807346929,59.6955234565651,71.3567343357552
77,633.9519228503431,0.0,59.6955234565651,0.0,63.39519228503431
78,0.0,0.0,0.0,0.0,0.0
79,738.9806449091122,0.0,0.0,0.0,73.89806449091122
80,0.0,294.27540304992283,0.0,269.17683035694597,0.0
81,850.672571609138,457.25011573789845,269.17683035694597,419.767698357646,85.06725716091381
