Time,P_charge,P_discharge,Battery_SoC,P_grid,P_waste,Cost_grid,Energy_waste
0,9.969899427703735,1030.8363899632805,228.63501449303817,712.319383431413,22.798898799488327,71.23193834314131,22.798898799488327
1,110.48716816714762,618.8528174870905,0.0,1216.0969047085287,1460.1508649721582,121.60969047085287,1460.1508649721582
2,64.28787901206029,98.59808192913351,0.0,1310.048470310475,150.28446199749732,131.00484703104752,150.28446199749732
3,3.053018446698296,326.778677970873,0.0,501.8079624928217,29.575141161492944,50.18079624928217,29.575141161492944
4,936.7130256641661,500.84133033332307,389.03604404763473,820.6657987334132,625.1069660637878,82.06657987334133,625.1069660637878
5,115.69968243015107,136.51341350828966,362.43732884798857,1507.3395652992365,119.51840784872759,150.73395652992366,119.51840784872759
6,24.943231227950342,17.282756906249006,368.8506416082924,850.2939739144795,8.444376922845358,85.02939739144796,8.444376922845358
7,845.9841656674636,126.22451124999998,1046.3110877423828,1377.3011465604718,716.890615702997,137.7301146560472,716.890615702997
8,41.296152250229014,55.85859976314168,1029.6838326169586,1407.2698140999137,189.3371190492228,140.72698140999137,189.3371190492228
9,10.157524907752514,9.127991115919713,1030.2054901634037,1684.0091980514621,23.637935238145563,168.40091980514623,23.637935238145563
10,1068.3069067426559,26.66951382187085,2018.427537747056,1906.7023633847368,468.17000584134985,190.6702363384737,468.17000584134985
11,77.37093522683611,54.20955482489899,2037.7203713876515,2064.1403489261925,166.45423853489302,206.41403489261927,166.45423853489302
12,9.624644472469042,24.633991123846272,2022.2297925126509,1601.6828421792798,7.927055178833834,160.16828421792798,7.927055178833834
13,381.1422931060745,542.5181404672103,1841.7968304962114,921.7106250293701,775.2587516282035,92.17106250293702,775.2587516282035
14,100.04844027314314,59.1801845756745,1877.6626641800228,2212.825880225512,128.72840125549777,221.28258802255118,128.72840125549777
15,11.957957471200025,772.9411961675316,1116.0815276101312,113.69350239509129,15.621275714861632,11.36935023950913,15.621275714861632
16,8.53087384446809,127.20025846212116,996.9855993002548,1471.1897756369397,486.1935962147316,147.11897756369396,486.1935962147316
17,64.80598072600444,49.66006556468324,1008.8912154252757,1733.0773891903993,40.222939943811156,173.30773891903993,40.222939943811156
18,12.40869837299434,8.67610926990551,1012.0033696097148,805.0759415430746,2.4708675172928736,80.50759415430747,2.4708675172928736
19,112.38889096418825,391.7324741523299,727.0403418733637,1191.9402511469948,680.5597706862594,119.19402511469949,680.5597706862594
20,63.79894799860905,142.7360239296163,644.9133185424259,2016.409074328117,120.12823793066902,201.6409074328117,120.12823793066902
21,5.954651237258873,11.628683957036856,638.941553260785,1026.3242919823372,16.491272355272685,102.63242919823372,16.491272355272685
22,183.51579795273648,76.10898882319475,737.1725724926898,1194.6672954584978,84.33045193433344,119.46672954584979,84.33045193433344
23,20.268416828942975,19.005325631199184,737.4222428489865,1931.0885558268963,9.139118404129391,193.10885558268964,9.139118404129391
