Time,P_grid,P_charge,P_discharge,Battery_SoC,Cost
0,896.8259715582832,0.0,284.23479294033496,215.76520705966507,89.68259715582832
1,1110.0803244115036,0.0,99.57247795677952,116.19272910288555,111.00803244115036
2,796.8973234225138,0.0,116.19272910288555,0.0,79.68973234225138
3,1357.3759562732487,0.0,0.0,0.0,135.73759562732488
4,566.9536447455974,0.0,0.0,0.0,56.695364474559746
5,1232.4663237826871,0.0,0.0,0.0,123.24663237826871
6,1810.8559573036794,0.0,0.0,0.0,181.08559573036794
7,1701.0159549921875,0.0,0.0,0.0,170.10159549921877
8,1899.5600812129533,0.0,0.0,0.0,189.95600812129533
9,243.68453379495594,0.0,0.0,0.0,24.368453379495595
10,464.8710905820951,0.0,0.0,0.0,46.48710905820951
11,845.4928264576318,0.0,0.0,0.0,84.54928264576318
12,1769.1629608540914,0.0,0.0,0.0,176.91629608540916
13,162.3211231799853,0.0,0.0,0.0,16.23211231799853
14,2279.294627336857,0.0,0.0,0.0,227.9294627336857
15,1600.1583846754313,0.0,0.0,0.0,160.01583846754315
16,1383.8993978204219,0.0,0.0,0.0,138.3899397820422
17,1712.7429509135839,0.0,0.0,0.0,171.2742950913584
18,895.8195072494716,0.0,0.0,0.0,89.58195072494716
19,2376.706630766216,0.0,0.0,0.0,237.67066307662162
20,1665.4630831974916,0.0,0.0,0.0,166.5463083197492
21,1526.266650445966,0.0,0.0,0.0,152.6266650445966
22,1688.9469933226283,0.0,0.0,0.0,168.89469933226283
23,1542.8556552496552,0.0,0.0,0.0,154.28556552496553
24,1009.8282356537909,0.0,0.0,0.0,100.98282356537909
25,1822.540810019362,0.0,0.0,0.0,182.2540810019362
26,1498.980764707053,0.0,0.0,0.0,149.8980764707053
27,1168.0499227836913,0.0,0.0,0.0,116.80499227836913
28,1560.4718821604024,0.0,0.0,0.0,156.04718821604024
29,1997.8968400184067,0.0,0.0,0.0,199.78968400184067
30,671.9075033205505,0.0,0.0,0.0,67.19075033205506
31,1360.5404601687096,0.0,0.0,0.0,136.05404601687096
32,763.5465979337639,0.0,0.0,0.0,76.3546597933764
33,1007.698718720133,0.0,0.0,0.0,100.76987187201331
34,1673.6149749144743,0.0,0.0,0.0,167.36149749144744
35,2055.1759870742953,0.0,0.0,0.0,205.51759870742956
36,1369.7911922028802,0.0,0.0,0.0,136.97911922028803
37,1336.277337751541,0.0,0.0,0.0,133.6277337751541
38,883.3673425311359,0.0,0.0,0.0,88.3367342531136
39,372.16388095912805,0.0,0.0,0.0,37.216388095912805
40,1000.851321463862,0.0,0.0,0.0,100.0851321463862
