Time,P_charge,P_discharge,SoC
0,0.0,81.38456046798998,68.61543953201002
1,0.0,68.61543953201002,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,211.32771715798572,0.0,190.19494544218716
29,6.833389258725336,142.23508179206584,54.10991398297412
30,0.0,54.10991398297412,0.0
31,127.42699786930508,0.0,114.68429808237458
32,11.251077065271392,47.50741204656117,77.30285539455767
33,0.0,77.30285539455767,0.0
34,212.81075007419958,0.0,191.52967506677962
35,2.9783355137766554,71.00690210914358,123.20327492003501
36,0.0,76.41470706087128,46.788567859163734
37,203.46566062013636,46.788567859163734,183.11909455812275
38,8.010243050074832,98.05484015653906,92.27347314665104
39,0.0,92.27347314665104,0.0
40,201.25230445284637,0.0,181.12707400756173
41,5.097049293107833,77.73380887593619,107.9806094954226
42,0.0,107.9806094954226,0.0
43,326.08279515941757,0.0,293.4745156434758
44,13.630155227143502,106.11063408135779,199.63102126654718
45,0.0,137.7057039022177,61.92531736432949
46,10.107877805367481,61.92531736432949,9.097090024830734
47,7.095730532723388,9.097090024830734,6.38615747945105
48,0.0,6.38615747945105,0.0
49,316.6275948082065,0.0,284.96483532738586
50,0.7901386583401606,158.1683504896393,127.50760963025272
51,0.0,34.22148000256746,93.28612962768526
52,103.95661575842473,93.28612962768526,93.56095418258226
