Time,P_grid,P_charge,P_discharge,Battery_SoC,Cost
0,0.0,0.0,58.5141421302164,150.0,0.0
1,0.0,0.0,57.5752492527479,89.3944744707917,0.0
2,19.4605337710216,0.0,43.5511542293601,43.5511542293601,1.94605337710216
3,41.518493231143,0.0,21.2172289835344,21.2172289835344,4.1518493231143
4,53.0674304967504,0.0,10.336598735568,10.336598735568,5.30674304967504
5,58.6746616200678,0.0,5.03577887117417,5.03577887117417,5.867466162006781
6,48.0912445595063,0.0,2.45332816800793,2.45332816800793,4.809124455950631
7,48.7710172072405,0.0,1.19521115877309,1.19521115877309,4.87710172072405
8,50.3680033926998,0.0,0.582282359402277,0.582282359402277,5.0368003392699805
9,52.7561864228854,0.0,0.283676021247263,0.283676021247263,5.27561864228854
10,50.4818541406338,0.0,0.138201138556359,0.138201138556359,5.04818541406338
11,53.1998644984813,0.0,0.0673287598095082,0.0673287598095082,5.31998644984813
12,54.2472202760724,0.0,0.0328011906764271,0.0328011906764271,5.42472202760724
13,50.6838996742851,0.0,0.0159800672526183,0.0159800672526183,5.0683899674285104
14,48.7000868134815,0.0,0.00778516096922432,0.00778516096922432,4.87000868134815
15,61.1699093883178,0.0,0.00379277072859646,0.00379277072859646,6.11699093883178
16,69.7613406521821,0.0,0.00184776009854699,0.00184776009854699,6.9761340652182104
17,62.2450947201662,0.0,0.000900190817240844,0.000900190817240844,6.224509472016621
18,56.877320321813,0.0,0.000438554500707078,0.000438554500707078,5.687732032181301
19,52.0652957583352,0.0,0.00021365475675473,0.00021365475675473,5.206529575833521
20,43.8048493084235,0.0,0.000104088214829228,0.000104088214829228,4.38048493084235
21,45.3298456969448,0.0,5.07096431219314e-05,5.07096431219314e-05,4.53298456969448
22,43.3006535463497,0.0,2.47046979311973e-05,2.47046979311973e-05,4.3300653546349706
23,41.9438114292283,0.0,1.20356220690449e-05,1.20356220690449e-05,4.19438114292283
24,40.7932839014757,0.0,5.86350818748339e-06,5.86350818748339e-06,4.07932839014757
