Time,P_charge_total,P_discharge,Battery_SoC,P_grid,P_waste,Cost_grid,Energy_waste
0,13.189109624678935,1580.396329083217,12.529654143444986,504.11395389652944,19.57968860251314,50.411395389652945,19.57968860251314
1,757.6213094464188,2041.706495416698,719.7402439740978,1792.103909884992,813.0167236928874,179.2103909884992,813.0167236928874
2,120.58131700551327,2289.300747681447,114.55225115523763,719.963416367759,93.99102400404436,71.99634163677591,93.99102400404436
3,17.302942490659845,2073.957005567293,16.437795366126863,703.4230679676753,15.325217117531396,70.34230679676753,15.325217117531396
4,865.5522260288831,1345.5705203068308,822.2746147274388,1280.8491569522496,696.2677656990712,128.08491569522496,696.2677656990712
5,109.41064101601201,1305.9108822162,103.94010896521138,855.8664241410447,125.80744926286668,85.58664241410447,125.80744926286668
6,17.083831148017566,1296.096644197464,16.229639590616685,767.9694894584652,16.303777002778123,76.79694894584652,16.303777002778123
7,634.6563250857807,494.4018795960517,602.9235088314916,1481.7962746368858,928.2184562846797,148.17962746368858,928.2184562846797
8,93.08206568188865,304.317832198415,387.03363903087086,1171.233543286404,137.55120561756317,117.1233543286404,137.55120561756317
9,14.177598936561237,81.12722997061478,319.37512804998926,1615.609921139502,19.617861209336844,161.5609921139502,19.617861209336844
10,988.0593455084319,1316.369911647025,938.6563782330103,1628.6320298680243,548.4175670755737,162.86320298680243,548.4175670755737
11,96.42581917871249,609.8162366060164,420.4446698467707,1536.3140012341307,147.39935458301662,153.63140012341307,147.39935458301662
12,9.438901430350404,1460.0630620036418,8.966956358832874,1225.6626973925015,8.112798220952472,122.56626973925016,8.112798220952472
13,592.8918182804813,1629.8009663644775,563.2472273664571,1428.5842499323287,563.5092264537967,142.8584249932329,563.5092264537967
14,116.82961036248085,1827.8591270916788,110.98812984435676,1733.9621895742685,111.94723116616008,173.39621895742687,111.94723116616008
15,12.466494405629913,1515.3292957425426,11.843169685348414,742.5489154021074,15.11273878043174,74.25489154021074,15.11273878043174
16,296.58521430938725,1451.2189912383901,281.75595359391787,1580.7790099748738,198.13925574981243,158.0779009974874,198.13925574981243
17,43.034596251002704,1723.4314161578848,40.88286643845254,1512.5862955626262,61.9943244188129,151.25862955626263,61.9943244188129
18,6.292698914607589,226.27316466632436,5.978063968877208,774.4795222329549,8.586866975679623,77.44795222329549,8.586866975679623
19,372.16905428211084,2057.8800543057278,353.56060156800527,1558.406940821275,420.77960736833694,155.8406940821275,420.77960736833694
20,105.33281014460155,1544.2898364034318,100.06616963737144,1816.1257255716475,78.59437578467649,181.61257255716475,78.59437578467649
21,8.484692275576203,1241.539843311886,8.060457661797386,942.3086805860192,13.961231316955358,94.23086805860193,13.961231316955358
22,108.85487529650156,917.4344076441344,103.41213153167648,1259.3134000618254,158.99137459056837,125.93134000618255,158.99137459056837
23,19.013179320816345,546.740830130113,18.06252035477553,1850.9020902214427,10.39435591225602,185.09020902214428,10.39435591225602
24,8.052310022522146,1320.1514906777418,7.6496945213960394,961.6425812230003,11.229244642490867,96.16425812230004,11.229244642490867
25,647.6064553396035,2222.7651724376,615.2261325726233,1294.7478760884371,422.5268604995689,129.4747876088437,422.5268604995689
26,125.64530403217631,1269.3743613797058,119.36303883056746,1382.092605054298,65.32787670904301,138.2092605054298,65.32787670904301
27,19.282402677970328,1288.8527030722848,18.31828254407182,820.8513793023446,22.416947855774083,82.08513793023447,22.416947855774083
28,933.8380043473633,1852.4122164741104,887.146104129995,1578.7031958139926,677.880569402083,157.87031958139926,677.880569402083
29,92.5206399953518,130.97650539478394,844.0642067307954,1575.5336844353,160.23508607292962,157.55336844353002,160.23508607292962
