Time,P_load,P_production,P_charge,P_discharge,P_grid,P_waste,Battery_SoC,Reward,Cost_grid,Cost_waste,Total_cost
0,1804.0071,1570.6381,1570.6381,0.0,1804.007080078125,0,0.0,-1058.639303182712,180.4007080078125,0.0,180.4007080078125
1,1403.7167,214.57234,214.57234,1492.1061,0.0,0,1492.1061,-3788.414870774656,0.0,0.0,0.0
2,812.2477,32.62816,32.62816,125.31182,693.2014507293701,0,125.31182,-0.0,69.32014507293701,0.0,69.32014507293701
3,1296.4651,1561.82,1561.82,24.401392,1273.2837655067444,0,24.401392,-1455.7230982940994,127.32837655067445,0.0,127.32837655067445
4,1637.0273,235.2181,235.2181,1482.4447,228.70487670898433,0,1482.4447,-2673.895853199445,22.870487670898434,0.0,22.870487670898434
5,866.7126,33.387608,33.387608,145.43378,728.5504974365234,0,145.43378,-480.2801539737513,72.85504974365234,0.0,72.85504974365234
6,1497.2145,1562.8748,1562.8748,24.063818,1474.3538504600524,0,24.063818,-1529.956054021207,147.43538504600525,0.0,147.43538504600525
7,1460.3354,230.63327,230.63327,1483.4645,51.044195556640716,0,1483.4645,-3096.142990279638,5.104419555664072,0.0,5.104419555664072
8,1692.6808,33.79546,33.79546,141.02452,1558.7074913024903,0,141.02452,-107.19278766287374,155.87074913024904,0.0,155.87074913024904
9,1932.0385,1536.4769,1536.4769,24.683344,1908.5892754554748,0,24.683344,-3273.285725936909,190.8589275455475,0.0,190.8589275455475
10,2115.6394,243.82518,243.82518,1458.354,730.2031005859376,0,1458.354,-4008.0373727225096,73.02031005859376,0.0,73.02031005859376
11,1625.0851,17.5517,17.5517,154.87845,1477.9505569458008,0,154.87845,-1533.4266771226867,147.7950556945801,0.0,147.7950556945801
12,1437.1029,1156.401,1156.401,8.522617,1429.006418800354,0,8.522617,-3103.696284375486,142.9006418800354,0.0,142.9006418800354
13,2269.047,228.77684,228.77684,1098.1324,1225.8212951660157,0,1098.1324,-3000.91338068716,122.58212951660158,0.0,122.58212951660158
14,847.9876,27.579233,27.579233,159.54155,696.4231376647949,0,159.54155,-2574.224611517122,69.64231376647949,0.0,69.64231376647949
15,1592.03,494.72446,494.72446,17.803347,1575.1168499946593,0,17.803347,-1462.4886380128096,157.51168499946596,0.0,157.51168499946596
16,1780.2544,105.02892,105.02892,469.05124,1334.6557174682616,0,469.05124,-3307.7453661089435,133.46557174682616,0.0,133.46557174682616
17,813.31824,14.879566,14.879566,75.09057,741.982197189331,0,75.09057,-2802.7771477143447,74.1982197189331,0.0,74.1982197189331
18,1564.086,792.94867,792.94867,10.183453,1554.4117795944214,0,10.183453,-1558.1626323021887,155.44117795944214,0.0,155.44117795944214
19,2152.0083,183.92719,183.92719,752.76526,1436.8813049316407,0,752.76526,-3264.2648257170063,143.68813049316407,0.0,143.68813049316407
20,1037.3716,22.445923,22.445923,135.1116,909.0155593872071,0,135.1116,-3017.450735342229,90.90155593872072,0.0,90.90155593872072
21,1266.9708,267.84625,267.84625,14.21249,1253.4689596176147,0,14.21249,-1908.9325905503326,125.34689596176148,0.0,125.34689596176148
22,1949.1436,29.407536,29.407536,253.70592,1708.1229331970214,0,253.70592,-2632.2848347451563,170.81229331970215,0.0,170.81229331970215
23,978.802,19.281555,19.281555,14.584216,964.9469966411591,0,14.584216,-3587.058298268043,96.49469966411591,0.0,96.49469966411591
24,1302.0151,1070.1333,1070.1333,17.549887,1285.3427443504333,0,17.549887,-2026.388638241528,128.53427443504333,0.0,128.53427443504333
25,1966.5574,190.97318,190.97318,1015.70294,1001.6395782470704,0,1015.70294,-2699.219656531487,100.16395782470704,0.0,100.16395782470704
26,934.2463,41.699352,41.699352,127.96647,812.6781314849853,0,127.96647,-2103.4431763482403,81.26781314849853,0.0,81.26781314849853
27,1596.1056,1611.7186,1611.7186,32.879307,1564.8702493667602,0,32.879307,-1706.6240502414873,156.48702493667602,0.0,156.48702493667602
28,1699.9613,252.75572,252.75572,1529.4021,247.0293090820312,0,1529.4021,-3286.227470194172,24.702930908203122,0.0,24.702930908203122
29,1071.2426,40.700817,40.700817,159.6231,919.6006156921387,0,159.6231,-518.7615657670675,91.96006156921388,0.0,91.96006156921388
30,1172.3109,1651.0131,1651.0131,30.26456,1143.5595804214477,0,30.26456,-1931.1613478400561,114.35595804214478,0.0,114.35595804214478
31,2308.4202,260.09708,260.09708,1566.8695,819.8941345214844,0,1566.8695,-2401.475101777501,81.98941345214844,0.0,81.98941345214844
32,957.0091,46.059147,46.059147,164.6254,800.6149673461914,0,164.6254,-1721.777580239567,80.06149673461914,0.0,80.06149673461914
33,1307.9733,1668.5366,1668.5366,35.091698,1274.6361537933349,0,35.091698,-1681.2914361533415,127.46361537933349,0.0,127.46361537933349
34,1618.5149,257.2843,257.2843,1583.2628,114.41521606445326,0,1583.2628,-2676.7358821335324,11.441521606445328,0.0,11.441521606445328
35,1146.7054,45.299698,45.299698,161.09045,993.6695129394532,0,161.09045,-240.27208470735218,99.36695129394532,0.0,99.36695129394532
36,1875.3826,1618.3989,1618.3989,34.55627,1842.554111289978,0,34.55627,-2086.7060705435397,184.25541112899782,0.0,184.25541112899782
37,2654.2595,262.13632,262.13632,1535.6602,1195.382373046875,0,1535.6602,-3869.3636199210678,119.53823730468751,0.0,119.53823730468751
38,1308.8801,47.957767,47.957767,168.20529,1149.0850997924804,0,168.20529,-2510.3027258287525,114.90850997924804,0.0,114.90850997924804
39,1570.4596,1562.6779,1562.6779,36.70697,1535.587973022461,0,36.70697,-2413.078772781399,153.55879730224612,0.0,153.55879730224612
40,2174.732,269.98395,269.98395,1482.612,766.2504760742188,0,1482.612,-3224.7348613691747,76.62504760742188,0.0,76.62504760742188
41,899.8933,33.75327,33.75327,178.45255,730.3633926391601,0,178.45255,-1609.1260145744707,73.03633926391602,0.0,73.03633926391602
42,2184.0295,1049.5016,1049.5016,22.673367,2162.489842796326,0,22.673367,-1533.7631730414291,216.2489842796326,0.0,216.2489842796326
43,2317.6155,249.33821,249.33821,995.8332,1371.5739471435547,0,995.8332,-4541.2288806793695,137.1573947143555,0.0,137.1573947143555
44,855.4665,56.972706,56.972706,184.45903,680.23041305542,0,184.45903,-2880.305207238242,68.023041305542,0.0,68.023041305542
45,1683.3153,1505.5505,1505.5505,44.4157,1641.1203935623168,0,44.4157,-1428.483878146245,164.1120393562317,0.0,164.1120393562317
46,1851.3065,278.141,278.141,1427.9353,494.76798095703134,0,1427.9353,-3446.3527539950423,49.47679809570314,0.0,49.47679809570314
47,902.7862,50.953373,50.953373,189.07945,723.1607139587402,0,189.07945,-1039.0126661247323,72.31607139587402,0.0,72.31607139587402
48,2018.4075,1454.6815,1454.6815,38.45415,1981.8760271072388,0,38.45415,-1518.6375064452502,198.1876027107239,0.0,198.1876027107239
49,2198.9758,269.95584,269.95584,1379.9235,888.0485412597657,0,1379.9235,-4161.939736799442,88.80485412597658,0.0,88.80485412597658
50,1009.99274,51.23465,51.23465,183.83049,835.3537712097168,0,183.83049,-1864.9016287396505,83.53537712097169,0.0,83.53537712097169
51,1694.6687,1715.4817,1715.4817,38.997627,1657.6209552764892,0,38.997627,-1754.2428809652206,165.76209552764894,0.0,165.76209552764894
52,2066.3848,295.2567,295.2567,1627.6552,520.112371826172,0,1627.6552,-3481.004016284808,52.0112371826172,0.0,52.0112371826172
53,859.9353,51.937843,51.937843,194.82782,674.8488739013671,0,194.82782,-1092.2357831538268,67.48488739013672,0.0,67.48488739013672
54,1399.9369,1503.3003,1503.3003,39.086853,1362.804379272461,0,39.086853,-1417.1825828007204,136.28043792724608,0.0,136.28043792724608
55,1988.5671,311.13483,311.13483,1426.078,633.793035888672,0,1426.078,-2861.8892173311406,63.3793035888672,0.0,63.3793035888672
56,1039.4071,57.704025,57.704025,220.52133,829.9118392944335,0,220.52133,-1330.965383328762,82.99118392944337,0.0,82.99118392944337
57,2243.9827,1677.2703,1677.2703,43.212437,2202.9308511734007,0,43.212437,-1742.8148438590624,220.29308511734007,0.0,220.29308511734007
58,2305.7017,284.3994,284.3994,1591.1323,794.1259521484376,0,1591.1323,-4626.154632813125,79.41259521484376,0.0,79.41259521484376
59,919.1383,48.182793,48.182793,186.43564,742.0244491577148,0,186.43564,-1667.6646334084637,74.20244491577148,0.0,74.20244491577148
